line,station,trips
A,Acoyte,20.2333094509
A,Alberti,27.9321241586
A,Carabobo,16.6565077089
A,Castro Barros,25.3425944433
A,Congreso,40.1616711319
A,Flores,15.7050312932
A,Lima,42.816858838
A,Loria,22.6453352325
A,Pasco,20.2260350615
A,Peru,64.6096451946
A,Piedras,60.8099730458
A,Plaza Miserere,18.6711076038
A,Plaza de Mayo,110.961240898
A,Primera Junta,15.6525861505
A,Puan,16.0377562028
A,Rio de Janeiro,26.7660051575
A,Saenz Pena,43.2724122513
A,San Pedrito,26.3718538889
B,Angel Gallardo,38.9399437276
B,Callao,79.5048137703
B,Carlos Gardel,51.546676838
B,Carlos Pellegrini,78.7196697015
B,Dorrego,34.3603886398
B,Echeverria,14.6214678179
B,Federico Lacroze,19.9465499911
B,Florida,119.01315501
B,Leandro N. Alem,142.292097065
B,Los Incas,26.4721458906
B,Malabia,50.848073883
B,Medrano,53.6342605869
B,Pasteur,55.9281039552
B,Pueyrredon,39.9124834388
B,Rosas,35.1057542768
B,Tronador,60.1733611216
B,Uruguay,66.4098210887
C,Avenida de Mayo,31.0874797059
C,Constitucion,27.384595857
C,Diagonal Norte,65.3849354376
C,General San Martin,72.0142266169
C,Independencia,32.9127241915
C,Lavalle,72.381077147
C,Mariano Moreno,47.780702594
C,Retiro,70.6742997638
C,San Juan,34.0121350019
D,9 de julio,40.7654996353
D,Aguero,47.8597035992
D,Bulnes,47.6655844156
D,Callao.,58.9617676721
D,Catedral,109.996217946
D,Congreso de Tucuman,47.0877622088
D,Facultad de Medicina,42.8985255854
D,Jose Hernandez,25.8534822132
D,Juramento,44.2486925738
D,Ministro Carranza,29.5451456311
D,Olleros,27.4295465977
D,Palermo,52.3906235349
D,Plaza Italia,43.5769883471
D,Pueyrredon.,91.9730533358
D,Scalabrini Ortiz,41.0908485857
D,Tribunales,51.1435588764
E,Avenida La Plata,20.0846541115
E,Boedo,22.466834268
E,Bolivar,88.8993872025
E,Emilio Mitre,19.8297516048
E,Entre Rios,23.2026325547
E,General Belgrano,65.7812238055
E,Independencia,33.7416608514
E,Jose Maria Moreno,23.4918350401
E,Jujuy,16.8952045917
E,Medalla Milagrosa,7.55694018405
E,Pichincha,11.0465116279
E,Pza. de los Virreyes,18.0836843583
E,San Jose,19.2117254793
E,Urquiza,14.0327589472
E,Varela,11.6119988786
H,Caseros,23.4621478873
H,Corrientes,21.3199255121
H,Hospitales,10.2932341791
H,Humberto I,14.4556504124
H,Inclan,11.6646131805
H,Once,14.97452746
H,Patricios,16.0428343255
H,Venezuela,14.2587971401
