line,time,trips
A,00:00,0.9
A,00:15,0.51724137931
A,00:30,0.6
A,00:45,0.545454545455
A,01:00,1.25
A,01:15,0.428571428571
A,01:30,0.461538461538
A,01:45,1.66666666667
A,02:00,1.0
A,02:15,1.2
A,02:30,1.25
A,02:45,0.571428571429
A,03:00,0.5
A,03:15,2.0
A,03:30,0.75
A,03:45,0.846153846154
A,04:00,0.9
A,04:15,0.777777777778
A,04:30,0.743243243243
A,04:45,1.01008645533
A,05:00,1.56310912286
A,05:15,2.08416307858
A,05:30,2.38605253422
A,05:45,2.76669428335
A,06:00,4.13527210723
A,06:15,5.75569422777
A,06:30,7.59692785495
A,06:45,10.7697652132
A,07:00,16.7053540454
A,07:15,22.2960110144
A,07:30,25.5737284095
A,07:45,27.614237045
A,08:00,32.9090909091
A,08:15,36.9381194187
A,08:30,37.0649173206
A,08:45,33.9804072224
A,09:00,32.3022424327
A,09:15,31.1014753135
A,09:30,28.8944253269
A,09:45,24.8410122404
A,10:00,23.4447482654
A,10:15,23.061114705
A,10:30,22.6126254407
A,10:45,21.8378634533
A,11:00,21.6533428021
A,11:15,22.0973582866
A,11:30,22.1814473995
A,11:45,22.1138674258
A,12:00,23.2828840423
A,12:15,24.2967218655
A,12:30,24.2694139503
A,12:45,23.561086277
A,13:00,25.4733474051
A,13:15,25.0611109249
A,13:30,24.1512714846
A,13:45,22.7936672462
A,14:00,24.7562077505
A,14:15,24.2793428801
A,14:30,22.7372731223
A,14:45,21.5462829091
A,15:00,25.8807764643
A,15:15,24.5003357507
A,15:30,23.4935717155
A,15:45,22.9282051282
A,16:00,27.2455722528
A,16:15,25.9875025197
A,16:30,25.560692478
A,16:45,25.3806421436
A,17:00,33.4054782667
A,17:15,33.1083188908
A,17:30,32.8999632586
A,17:45,30.7328185586
A,18:00,40.7928030557
A,18:15,36.8623675325
A,18:30,30.1085026234
A,18:45,24.8886793088
A,19:00,23.7935914283
A,19:15,20.4907749077
A,19:30,17.653599038
A,19:45,15.6603492481
A,20:00,17.4005499861
A,20:15,14.4137302977
A,20:30,12.109103198
A,20:45,10.3591293398
A,21:00,12.3339584535
A,21:15,9.33312525245
A,21:30,7.58003284574
A,21:45,6.39919258134
A,22:00,5.943030102
A,22:15,3.92295422688
A,22:30,2.40763772622
A,22:45,1.56883862861
A,23:00,0.8109375
A,23:15,0.620689655172
A,23:30,0.707317073171
A,23:45,0.596774193548
B,00:00,0.813953488372
B,00:15,0.8
B,00:30,0.75
B,00:45,1.0
B,01:00,0.35
B,01:15,0.769230769231
B,01:30,0.428571428571
B,01:45,1.0
B,02:00,0.285714285714
B,02:15,0.789473684211
B,02:30,0.714285714286
B,02:45,1.0
B,03:00,0.5
B,03:15,1.5
B,03:30,1.0
B,03:45,0.428571428571
B,04:00,1.0
B,04:15,1.0625
B,04:30,0.907407407407
B,04:45,1.71123755334
B,05:00,2.16545831176
B,05:15,3.08664745437
B,05:30,3.16257917817
B,05:45,3.75715453802
B,06:00,5.59944866761
B,06:15,7.91052713906
B,06:30,10.9061247216
B,06:45,14.7682339612
B,07:00,22.0260095825
B,07:15,29.2019742605
B,07:30,34.1442403673
B,07:45,36.0329261122
B,08:00,42.4857198117
B,08:15,48.4866267337
B,08:30,49.763485875
B,08:45,46.4732653648
B,09:00,44.2653826433
B,09:15,43.2075531779
B,09:30,40.7190607823
B,09:45,35.0425693653
B,10:00,33.310869359
B,10:15,32.5980398356
B,10:30,32.409522003
B,10:45,31.5034441355
B,11:00,31.7234837688
B,11:15,32.7324415773
B,11:30,31.5527439507
B,11:45,33.3426399142
B,12:00,34.7674396593
B,12:15,35.3893072052
B,12:30,35.0877060049
B,12:45,35.0637278088
B,13:00,37.9566984967
B,13:15,36.6821363264
B,13:30,36.7716572653
B,13:45,34.550499795
B,14:00,36.818109787
B,14:15,37.0293103993
B,14:30,34.965101944
B,14:45,32.887385103
B,15:00,37.6006082108
B,15:15,37.4081116937
B,15:30,35.6085591016
B,15:45,34.7643166925
B,16:00,40.2845476989
B,16:15,39.8545926442
B,16:30,39.4403669725
B,16:45,38.5089936031
B,17:00,51.346965908
B,17:15,51.6390979822
B,17:30,50.7221393903
B,17:45,48.917441086
B,18:00,64.6722633276
B,18:15,59.0254867817
B,18:30,49.8291344079
B,18:45,40.1058322203
B,19:00,38.9364937388
B,19:15,32.7025873138
B,19:30,27.6476628551
B,19:45,24.4010547218
B,20:00,26.7264847828
B,20:15,23.1117015976
B,20:30,19.2029696318
B,20:45,16.4576317127
B,21:00,17.8317453283
B,21:15,14.0816552557
B,21:30,8.69730103806
B,21:45,9.603353077
B,22:00,10.043956044
B,22:15,6.68816644993
B,22:30,4.50364464692
B,22:45,2.31146637266
B,23:00,1.06666666667
B,23:15,0.469879518072
B,23:30,0.604651162791
B,23:45,0.621621621622
C,00:00,0.8125
C,00:15,0.169811320755
C,00:30,0.583333333333
C,00:45,0.125
C,01:00,0.138888888889
C,01:15,1.125
C,01:30,0.185185185185
C,01:45,0.7
C,02:00,0.666666666667
C,02:15,0.08
C,02:30,0.115384615385
C,02:45,0.428571428571
C,03:00,1.0
C,03:15,0.12
C,03:30,1.0
C,03:45,1.2
C,04:00,0.145161290323
C,04:15,0.3
C,04:30,0.35
C,04:45,2.23895742141
C,05:00,4.8691129401
C,05:15,9.81472559698
C,05:30,12.6458411041
C,05:45,18.9305704615
C,06:00,21.4317795956
C,06:15,26.5163909774
C,06:30,31.5923474213
C,06:45,33.8693015332
C,07:00,36.1176506428
C,07:15,43.8882538549
C,07:30,44.5129028422
C,07:45,43.5456557186
C,08:00,49.6788624836
C,08:15,54.3750845166
C,08:30,58.3343829069
C,08:45,55.863422292
C,09:00,53.9053383165
C,09:15,49.4375937344
C,09:30,47.0953989259
C,09:45,41.358514583
C,10:00,34.9042782225
C,10:15,35.3036401628
C,10:30,31.8354945055
C,10:45,29.4640619848
C,11:00,28.9900831025
C,11:15,30.7314572304
C,11:30,26.3246563815
C,11:45,29.9861446121
C,12:00,28.249873375
C,12:15,29.9620652725
C,12:30,28.6229822779
C,12:45,30.585196084
C,13:00,32.370933982
C,13:15,30.7460569613
C,13:30,30.2430511777
C,13:45,29.8176463861
C,14:00,31.8124175131
C,14:15,30.2209195402
C,14:30,29.2256463527
C,14:45,28.8592160037
C,15:00,33.5793019339
C,15:15,30.8260668707
C,15:30,29.9045144902
C,15:45,29.0669748628
C,16:00,35.5668619829
C,16:15,33.1180052189
C,16:30,33.144687482
C,16:45,33.8010248143
C,17:00,46.2919548179
C,17:15,41.2631912078
C,17:30,43.8115143785
C,17:45,43.7432730225
C,18:00,61.6582964344
C,18:15,51.4566575215
C,18:30,42.5774771609
C,18:45,34.7943903159
C,19:00,33.1312184999
C,19:15,26.1272530642
C,19:30,22.6924009211
C,19:45,19.6300048828
C,20:00,22.9921160726
C,20:15,19.1966616293
C,20:30,16.3951271186
C,20:45,14.0383917556
C,21:00,16.2206630798
C,21:15,11.665199224
C,21:30,9.62438796922
C,21:45,8.97227432113
C,22:00,8.32365609924
C,22:15,4.26685884897
C,22:30,2.14528069093
C,22:45,0.617661097852
C,23:00,0.287553648069
C,23:15,0.388888888889
C,23:30,0.465753424658
C,23:45,0.204545454545
D,00:00,0.447368421053
D,00:15,0.464285714286
D,00:30,0.710526315789
D,00:45,0.742857142857
D,01:00,0.666666666667
D,01:15,0.575
D,01:30,0.684210526316
D,01:45,1.0
D,02:00,0.684210526316
D,02:15,1.2
D,02:30,1.0
D,02:45,0.0909090909091
D,03:00,1.5
D,03:15,0.2
D,03:30,0.636363636364
D,03:45,0.48
D,04:00,0.526315789474
D,04:15,0.705685618729
D,04:30,0.701195219124
D,04:45,1.15540848927
D,05:00,1.48925891664
D,05:15,1.87858492186
D,05:30,2.16645426225
D,05:45,2.72141697239
D,06:00,4.09218426226
D,06:15,6.15713865464
D,06:30,9.09513451123
D,06:45,13.2953323662
D,07:00,20.1588956079
D,07:15,26.9692630775
D,07:30,30.9386817326
D,07:45,32.2014151116
D,08:00,37.6809099403
D,08:15,45.5821861772
D,08:30,49.9383066232
D,08:45,46.2619771057
D,09:00,43.8891791703
D,09:15,42.8381959126
D,09:30,41.1731743352
D,09:45,36.1096982683
D,10:00,34.1824400168
D,10:15,33.5004907115
D,10:30,33.2279092564
D,10:45,32.3988874117
D,11:00,32.4994417696
D,11:15,32.8507629067
D,11:30,33.2312691131
D,11:45,33.1158875904
D,12:00,35.4973085605
D,12:15,36.6159528351
D,12:30,36.4381995134
D,12:45,36.0320935397
D,13:00,38.7980665951
D,13:15,38.1095067856
D,13:30,37.8563388111
D,13:45,34.7868317896
D,14:00,37.2685092069
D,14:15,36.3619763695
D,14:30,34.7244296512
D,14:45,32.6229809997
D,15:00,38.3769006457
D,15:15,36.8631173429
D,15:30,35.9090498524
D,15:45,35.3678973826
D,16:00,41.2674867091
D,16:15,40.5645878186
D,16:30,40.4409818942
D,16:45,39.6100038396
D,17:00,49.9210746393
D,17:15,49.7204862925
D,17:30,49.3865039233
D,17:45,47.2659745526
D,18:00,60.497225034
D,18:15,58.4303178484
D,18:30,49.7567387102
D,18:45,40.8971456693
D,19:00,39.275979857
D,19:15,33.7595182595
D,19:30,28.8512311415
D,19:45,25.6124075331
D,20:00,28.0259082252
D,20:15,24.1056133207
D,20:30,21.1076928745
D,20:45,18.3842210831
D,21:00,20.4925687625
D,21:15,15.3387442573
D,21:30,12.2914896105
D,21:45,10.9077414206
D,22:00,9.92000999875
D,22:15,5.44084063392
D,22:30,2.69936363636
D,22:45,1.07565308255
D,23:00,0.526236881559
D,23:15,0.447619047619
D,23:30,0.384615384615
D,23:45,0.55
E,00:00,1.6
E,00:15,0.3125
E,00:30,0.185185185185
E,00:45,0.162162162162
E,01:00,0.0416666666667
E,01:15,0.5
E,01:30,0.222222222222
E,01:45,0.285714285714
E,02:00,1.0
E,02:15,1.0
E,02:30,1.25
E,03:00,1.0
E,03:30,1.0
E,03:45,2.0
E,04:00,1.0
E,04:15,0.360902255639
E,04:30,0.382978723404
E,04:45,1.22666666667
E,05:00,1.61533656099
E,05:15,2.38349214206
E,05:30,2.87904864348
E,05:45,3.60166794689
E,06:00,5.5601663961
E,06:15,7.99655002464
E,06:30,10.9830293573
E,06:45,15.1359924027
E,07:00,22.8499673842
E,07:15,27.9847314532
E,07:30,30.1987456938
E,07:45,31.1708218707
E,08:00,37.0798846676
E,08:15,42.4317449551
E,08:30,40.7562727042
E,08:45,37.2790854636
E,09:00,36.801600674
E,09:15,34.5857395404
E,09:30,30.7133484734
E,09:45,25.4327618087
E,10:00,23.2812736285
E,10:15,21.5333613445
E,10:30,20.1007387508
E,10:45,19.3834706575
E,11:00,19.8461473755
E,11:15,20.419749979
E,11:30,22.9781805975
E,11:45,23.681375021
E,12:00,22.0742541066
E,12:15,22.4488156022
E,12:30,21.6390517675
E,12:45,20.2506501132
E,13:00,21.8032306662
E,13:15,20.5101373995
E,13:30,19.1199630625
E,13:45,17.6283386528
E,14:00,19.5717520758
E,14:15,18.5806478684
E,14:30,17.0232186422
E,14:45,16.0906947368
E,15:00,20.2985551075
E,15:15,18.9817236754
E,15:30,18.4829031177
E,15:45,18.3066532427
E,16:00,22.9140055318
E,16:15,21.4489659215
E,16:30,21.4941245593
E,16:45,21.2616210774
E,17:00,30.5348019097
E,17:15,32.3308466052
E,17:30,32.1123416394
E,17:45,30.7028662688
E,18:00,41.2671800452
E,18:15,35.465079232
E,18:30,26.853806593
E,18:45,20.9441067207
E,19:00,20.0357294048
E,19:15,16.7994062765
E,19:30,14.2119815668
E,19:45,12.5136196738
E,20:00,13.8093401885
E,20:15,12.4567017423
E,20:30,11.0691355888
E,20:45,9.72034791776
E,21:00,11.5892246558
E,21:15,8.68409069348
E,21:30,7.50714837713
E,21:45,8.11763527054
E,22:00,11.2480620155
E,22:15,8.32959724104
E,22:30,3.00129605629
E,22:45,0.953840332955
E,23:00,0.281776416539
E,23:15,0.628571428571
E,23:30,1.33333333333
E,23:45,0.153846153846
H,00:00,0.333333333333
H,00:15,0.0652173913043
H,00:30,1.0
H,00:45,1.0
H,01:45,1.0
H,02:00,0.666666666667
H,02:15,1.0
H,02:30,1.0
H,02:45,1.0
H,03:00,1.0
H,03:15,0.0714285714286
H,03:45,1.0
H,04:00,1.0
H,04:15,1.0
H,04:30,0.528301886792
H,04:45,0.647138047138
H,05:00,1.12290341238
H,05:15,1.33025291829
H,05:30,1.62354621506
H,05:45,2.28907771287
H,06:00,3.30746979752
H,06:15,4.40865908737
H,06:30,5.41692375496
H,06:45,7.03235454051
H,07:00,9.108033241
H,07:15,12.8347407929
H,07:30,15.1779483601
H,07:45,14.3181404865
H,08:00,16.0118577075
H,08:15,18.2752242152
H,08:30,18.8488527512
H,08:45,17.2175802139
H,09:00,15.2595811052
H,09:15,14.3344080044
H,09:30,13.4348355664
H,09:45,11.7468819599
H,10:00,11.29786998
H,10:15,10.9427152318
H,10:30,10.7725877193
H,10:45,10.4319772528
H,11:00,10.5072908672
H,11:15,10.8212486309
H,11:30,10.9290958904
H,11:45,10.8853281012
H,12:00,12.043833824
H,12:15,12.6976466761
H,12:30,12.6130114743
H,12:45,12.0101919115
H,13:00,12.6644317076
H,13:15,12.5734767025
H,13:30,11.9216113228
H,13:45,11.0224523161
H,14:00,12.6106454773
H,14:15,12.2719660722
H,14:30,11.1637968614
H,14:45,10.2321721088
H,15:00,11.714690806
H,15:15,11.3668923346
H,15:30,11.2698795181
H,15:45,10.9893048128
H,16:00,12.5069991251
H,16:15,12.3767497813
H,16:30,12.3653908706
H,16:45,11.988013512
H,17:00,15.3788321959
H,17:15,14.4301784749
H,17:30,14.282902563
H,17:45,13.7601174935
H,18:00,21.6409208262
H,18:15,17.8041950481
H,18:30,14.9936901654
H,18:45,12.1091572661
H,19:00,11.6944904494
H,19:15,9.81042972247
H,19:30,8.564644399
H,19:45,7.36401051789
H,20:00,8.500624787
H,20:15,6.86516331512
H,20:30,5.77768614515
H,20:45,4.73000484731
H,21:00,5.05091992744
H,21:15,4.17849871047
H,21:30,3.60471848314
H,21:45,2.92685606655
H,22:00,2.80259659002
H,22:15,2.13866573524
H,22:30,1.53449445827
H,22:45,0.995810055866
H,23:00,0.426892950392
H,23:15,0.40350877193
H,23:30,1.0
H,23:45,1.5
